Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
380.46265,380.70013,378.14548,379.1528,376.38312,378.98465,377.33942,380.87354,380.37153640533705,379.60907
380.43307,380.7094,378.14056,379.13962,376.34332,379.04413,377.35318,380.9016,380.3873685091207,379.61127
380.42615,380.73007,378.1322,379.1371,376.3644,379.0998,377.36694,380.92975,380.42634308869765,379.62674
380.5825,380.78378,378.12244,379.15042,376.37564,379.15125,377.3807,380.95786,380.4855364639995,379.65784
381.05435,380.8353,378.10938,379.20126,376.41333,379.20087,377.39444,380.98596,380.54684081366406,379.69342
381.16483,380.93146,378.1058,379.30325,376.44415,379.2559,377.4082,381.01407,380.59661300255925,379.75037
381.51227,381.0609,378.10626,379.3719,376.4805,379.31592,377.42197,381.04214,380.63842411047773,379.8178
381.95236,381.15573,378.1068,379.46997,376.56857,379.384,377.43573,381.07028,380.6870708402096,379.87897
382.43826,381.2889,378.10162,379.59125,376.68765,379.46356,377.44952,381.0984,380.75136469628575,379.9607
382.807,381.5336,378.08533,379.71335,376.85486,379.55814,377.46326,381.12646,380.8240555146987,380.0902
383.2099,381.70392,378.0438,379.8456,376.96924,379.66776,377.47702,381.1546,380.8895203383543,380.1816
383.55228,381.9275,377.97845,379.99246,377.0599,379.79324,377.49078,381.18268,380.94064150611035,380.28418
383.84167,382.13596,377.8862,380.15436,377.1781,379.93344,377.50455,381.2108,380.98708978580345,380.3794
384.12073,382.3333,377.7689,380.29883,377.39838,380.08643,377.5183,381.23892,381.04582412619334,380.4786
384.4769,382.51187,377.63162,380.42188,377.48694,380.24973,377.53204,381.267,381.12329402498915,380.55444
